Divipola,Departamento,Municipio,evViolArm,perViolArm,evDesp,perDesp,evAtaqCiv,perAtaqCiv,evDesas,perDesas,evUngrd,perUngrd,Afectacion
5001,ANTIOQUIA,MEDELLÍN,2,1,1,0,75,102,11,900,9,224,Alto
5002,ANTIOQUIA,ABEJORRAL,0,0,0,0,0,0,0,0,2,11,Bajo
5004,ANTIOQUIA,ABRIAQUÍ,0,0,0,0,0,0,0,0,1,13,Bajo
5021,ANTIOQUIA,ALEJANDRÍA,0,0,0,0,0,0,1,0,1,0,Bajo
5030,ANTIOQUIA,AMAGÁ,0,0,0,0,1,2,1,0,10,1867,Medio
5031,ANTIOQUIA,AMALFI,3,2,0,0,1,5,0,0,4,24,Bajo
5034,ANTIOQUIA,ANDES,1,2,1,84,2,3,1,0,3,44,Bajo
5036,ANTIOQUIA,ANGELÓPOLIS,0,0,0,0,0,0,1,0,1,52,Bajo
5038,ANTIOQUIA,ANGOSTURA,0,0,0,0,0,0,0,0,0,0,
5040,ANTIOQUIA,ANORÍ,2,9,0,0,4,5,0,0,3,463,Bajo
5042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,2,3,0,0,4,7,3,0,6,99,Bajo
5044,ANTIOQUIA,ANZÁ,0,0,0,0,0,0,0,0,8,2068,Medio
5045,ANTIOQUIA,APARTADÓ,3,6,0,0,0,0,1,0,6,11932,Bajo
5051,ANTIOQUIA,ARBOLETES,1,1,0,0,0,0,0,0,1,5,Bajo
5055,ANTIOQUIA,ARGELIA,0,0,0,0,0,0,0,0,1,8,Bajo
5059,ANTIOQUIA,ARMENIA,0,0,0,0,0,0,0,0,0,0,
5079,ANTIOQUIA,BARBOSA,1,1,0,0,1,1,0,0,7,25,Medio
5086,ANTIOQUIA,BELMIRA,1,3,0,0,1,1,0,0,0,0,Bajo
5088,ANTIOQUIA,BELLO,1,2,0,0,17,23,1,1611,8,185,Medio
5091,ANTIOQUIA,BETANIA,0,0,0,0,1,1,1,0,4,125,Bajo
5093,ANTIOQUIA,BETULIA,1,2,0,0,0,0,1,7000,4,14,Bajo
5101,ANTIOQUIA,CIUDAD BOLÍVAR,0,0,0,0,3,3,1,0,2,37,Bajo
5107,ANTIOQUIA,BRICEÑO,0,0,0,0,1,1,0,0,1,4,Bajo
5113,ANTIOQUIA,BURITICÁ,0,0,0,0,2,4,0,0,4,3206,Bajo
5120,ANTIOQUIA,CÁCERES,5,0,0,0,4,4,0,0,6,10287,Bajo
5125,ANTIOQUIA,CAICEDO,0,0,0,0,0,0,0,0,0,0,
5129,ANTIOQUIA,CALDAS,1,0,0,0,2,2,1,0,10,360,Medio
5134,ANTIOQUIA,CAMPAMENTO,0,0,0,0,0,0,1,1000,1,40,Bajo
5138,ANTIOQUIA,CAÑASGORDAS,3,524,0,0,0,0,0,0,1,0,Bajo
5142,ANTIOQUIA,CARACOLÍ,0,0,0,0,0,0,0,0,0,0,
5145,ANTIOQUIA,CARAMANTA,0,0,0,0,0,0,0,0,0,0,
5147,ANTIOQUIA,CAREPA,2,4,0,0,2,3,2,0,5,12247,Bajo
5148,ANTIOQUIA,EL CARMEN DE VIBORAL,0,0,0,0,2,2,0,0,1,9,Bajo
5150,ANTIOQUIA,CAROLINA,0,0,0,0,0,0,0,0,0,0,
5154,ANTIOQUIA,CAUCASIA,0,0,0,0,7,6,3,1000,5,15258,Bajo
5172,ANTIOQUIA,CHIGORODÓ,4,7,0,0,2,2,1,0,4,125,Bajo
5190,ANTIOQUIA,CISNEROS,0,0,0,0,0,0,0,0,0,0,
